testid,duration,top_n_beacons,algorithm,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"Test57257",5,3,2,"SB",1,27.548798,34.119584,1,27.06195444480455,34.81326044955796,0.8474689751882828,0
"Test8527",10,3,2,"SB",1,27.548798,34.119584,1,28.451692066624553,24.48075023894752,9.68102959239104,0
"Test13139",10,3,2,"SB",1,28.550332,53.800097,1,27.235930169252356,55.539225499063484,2.179958740189264,0
"Test13177",5,3,2,"SB",1,28.550332,53.800097,1,25.310177817083467,48.710172152464736,6.033733013866988,0
"Test52854",3,3,2,"SB",1,28.550332,53.800097,1,26.873047403903332,54.60390453602706,1.8599435935740247,0
"Test79360",2,3,2,"SB",1,28.550332,53.800097,1,31.772615046975908,47.07419823159478,7.457936864687394,0
"Test37077",2,3,2,"SB",1,24.210347,54.795178,1,27.714206218384717,55.13441648925493,3.5202431982537146,0
"Test13666",3,3,2,"SB",1,24.210347,54.795178,1,16.019296153275555,55.58930679425865,8.22945651398049,0
"Test52481",5,3,2,"SB",1,24.210347,54.795178,1,25.910566106382092,55.48497501872282,1.8348201374373496,0
"Test30022",10,3,2,"SB",1,24.210347,54.795178,1,25.91056609506895,55.48497500874434,1.8348201232027432,0
"Test37479",10,3,2,"SB",1,18.534983,49.156381,1,13.739821377419608,53.85489250673144,6.713388515910243,0
"Test68842",5,3,2,"SB",1,18.534983,49.156381,1,16.21510704515479,51.740297532453184,3.472527766995368,0
"Test53054",3,3,2,"SB",1,18.534983,49.156381,1,26.8281472836946,39.145454702157316,12.999816120899021,0
"Test67831",2,3,2,"SB",1,18.534983,49.156381,1,16.019296083763003,55.589306843362266,6.907330567355532,0
"Test7174",2,3,2,"SB",1,18.368059,56.287802,1,18.570954852966672,43.47013183714295,12.819275920696414,0
"Test17244",3,3,2,"SB",1,18.368059,56.287802,1,16.215107051290108,51.74029753841376,5.031401288070794,0
"Test21017",5,3,2,"SB",1,18.368059,56.287802,1,16.521033228974424,49.59310841859433,6.944812909484807,0
"Test87030",10,3,2,"SB",1,18.368059,56.287802,1,16.521033228974424,49.59310841859433,6.944812909484807,0
"Test6781",10,3,2,"SB",1,17.867292,43.020041,1,16.521033228974424,49.59310841859433,6.70951771500379,0
"Test53151",5,3,2,"SB",1,17.867292,43.020041,1,16.521033228974424,49.59310841859433,6.70951771500379,0
"Test39878",3,3,2,"SB",1,17.867292,43.020041,1,13.46165473845673,45.69830041413124,5.155842624603769,0
"Test30871",2,3,2,"SB",1,17.867292,43.020041,1,3.7504417173578295,40.35748587193906,14.3657461244621,0
"Test27356",2,3,2,"SB",1,10.355779,62.313577,1,8.595508059563409,42.87051904479464,19.522578119531754,0
"Test57000",3,3,2,"SB",1,10.355779,62.313577,1,8.320877890219188,35.66642708173741,26.724734260473934,0
"Test66766",5,3,2,"SB",1,10.355779,62.313577,1,14.946644215679791,56.163540169743186,7.674568159971868,0
"Test23777",10,3,2,"SB",1,10.355779,62.313577,1,14.4223389590058,49.813183666212275,13.145217510547093,0
