testid,building_id,t_floor,t_x,t_y,interval,bt_major,bt_minor,bt_floor,bt_x,bt_y,rssi
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,534,1,23.005985968048318,49.39659185422822,-99,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,534,1,23.005985968048318,49.39659185422822,-103,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,534,1,23.005985968048318,49.39659185422822,-100,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,533,1,22.40614815353179,38.158356368043094,-98,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,533,1,22.40614815353179,38.158356368043094,-97,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,533,1,22.40614815353179,38.158356368043094,-98,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,533,1,22.40614815353179,38.158356368043094,-98,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,533,1,22.40614815353179,38.158356368043094,-98,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,582,1,11.908984843052998,23.099117519462734,-89,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,582,1,11.908984843052998,23.099117519462734,-91,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,582,1,11.908984843052998,23.099117519462734,-91,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,582,1,11.908984843052998,23.099117519462734,-91,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,582,1,11.908984843052998,23.099117519462734,-90,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,582,1,11.908984843052998,23.099117519462734,-90,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,582,1,11.908984843052998,23.099117519462734,-89,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,582,1,11.908984843052998,23.099117519462734,-91,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,582,1,11.908984843052998,23.099117519462734,-90,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,588,1,3.0613755224946493,60.484984604957916,-96,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,588,1,3.0613755224946493,60.484984604957916,-91,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,588,1,3.0613755224946493,60.484984604957916,-100,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,588,1,3.0613755224946493,60.484984604957916,-95,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,588,1,3.0613755224946493,60.484984604957916,-95,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,588,1,3.0613755224946493,60.484984604957916,-95,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,588,1,3.0613755224946493,60.484984604957916,-97,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,568,1,0.43708479215242596,38.00851285497156,-89,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,568,1,0.43708479215242596,38.00851285497156,-90,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,568,1,0.43708479215242596,38.00851285497156,-89,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,568,1,0.43708479215242596,38.00851285497156,-89,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,537,1,22.931007603118402,60.85959261002064,-95,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,537,1,22.931007603118402,60.85959261002064,-108,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,537,1,22.931007603118402,60.85959261002064,-99,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,537,1,22.931007603118402,60.85959261002064,-99,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,542,1,0.8869632503172951,30.44143410764571,-100,
"Test70565","AM",1,4.308557968378728,49.51309274392676,5,1000,584,1,14.758214851116394,38.00851285497156,-92,
"Test50294","AM",1,7.877342455798169,41.19239045838931,5,1000,582,1,11.908984843052998,23.099117519462734,-84,
"Test50294","AM",1,7.877342455798169,41.19239045838931,5,1000,582,1,11.908984843052998,23.099117519462734,-89,
"Test50294","AM",1,7.877342455798169,41.19239045838931,5,1000,582,1,11.908984843052998,23.099117519462734,-84,
"Test50294","AM",1,7.877342455798169,41.19239045838931,5,1000,536,1,23.080965889417833,30.516355864181474,-103,
"Test50294","AM",1,7.877342455798169,41.19239045838931,5,1000,542,1,0.8869632503172951,30.44143410764571,-101,
"Test50294","AM",1,7.877342455798169,41.19239045838931,5,1000,542,1,0.8869632503172951,30.44143410764571,-101,
"Test50294","AM",1,7.877342455798169,41.19239045838931,5,1000,542,1,0.8869632503172951,30.44143410764571,-98,
"Test50294","AM",1,7.877342455798169,41.19239045838931,5,1000,592,1,4.78590982289451,45.725435115368946,-91,
