testid,beacon_major,beacon_minor,b_building,b_floor,b_x,b_y,rssi,duration,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"317",101,126,"Building",2,11.1045730971,31.92882652,-85.7369002351,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,115,"Building",2,7.59493346216,36.386477457,-86.053795803,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,152,"Building",2,24.5919195389,12.6271879458,-88.4783362196,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,119,"Building",2,9.60041468039,37.2922101962,-91.226450338,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,191,"Building",2,18.0732435291,50.3849976226,-91.3741592308,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,118,"Building",0,26.1194933615,37.0533749589,-91.746884699,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,121,"Building",1,7.34823813414,47.4912410236,-92.0,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,141,"Building",0,22.392288987,35.1902750515,-92.816989476,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,116,"Building",1,25.0733447227,65.330325374,-93.5700744776,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,132,"Building",0,28.0535479633,32.9778441801,-93.7557595587,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,174,"Building",1,12.5296199144,15.9174132844,-94.0,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,168,"Building",1,9.71041452799,37.0909813036,-94.5128869618,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,161,"Building",1,8.01889153388,26.7331959193,-94.9084604784,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,155,"Building",2,7.74469114617,43.1168603772,-95.0,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,138,"Building",2,18.5752876093,15.4843176138,-95.4712810462,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,128,"Building",0,26.2308298789,29.7590456408,-96.4712810462,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,175,"Building",2,11.0037002414,53.292252411,-96.8858739287,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,202,"Building",2,7.59427545994,50.3348724107,-97.0,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"318",101,190,"Building",0,27.7450070104,37.6772194926,-53.9287652928,10,"Building",0,31.3000519989,33.8670601127,0,27.506516256626558,35.40515861730149,4.09349000704331,0
"318",101,132,"Building",0,28.0535479633,32.9778441801,-55.9221202018,10,"Building",0,31.3000519989,33.8670601127,0,27.506516256626558,35.40515861730149,4.09349000704331,0
"318",101,118,"Building",0,26.1194933615,37.0533749589,-57.5003655855,10,"Building",0,31.3000519989,33.8670601127,0,27.506516256626558,35.40515861730149,4.09349000704331,0
"318",101,128,"Building",0,26.2308298789,29.7590456408,-58.6535412757,10,"Building",0,31.3000519989,33.8670601127,0,27.506516256626558,35.40515861730149,4.09349000704331,0
"318",101,188,"Building",0,27.822657033,26.8867671999,-60.7266229825,10,"Building",0,31.3000519989,33.8670601127,0,27.506516256626558,35.40515861730149,4.09349000704331,0
"318",101,141,"Building",0,22.392288987,35.1902750515,-65.7603226658,10,"Building",0,31.3000519989,33.8670601127,0,27.506516256626558,35.40515861730149,4.09349000704331,0
"318",101,180,"Building",0,27.1626309726,22.5783486241,-68.827505553,10,"Building",0,31.3000519989,33.8670601127,0,27.506516256626558,35.40515861730149,4.09349000704331,0
"318",101,143,"Building",0,18.2699028907,24.7526442618,-80.1914025124,10,"Building",0,31.3000519989,33.8670601127,0,27.506516256626558,35.40515861730149,4.09349000704331,0
"318",101,205,"Building",1,26.0969946416,37.018767846,-80.5116432752,10,"Building",0,31.3000519989,33.8670601127,0,27.506516256626558,35.40515861730149,4.09349000704331,0
"318",101,179,"Building",0,13.2226465783,22.6178422904,-82.5915996274,10,"Building",0,31.3000519989,33.8670601127,0,27.506516256626558,35.40515861730149,4.09349000704331,0
"318",101,160,"Building",1,27.8590484144,28.7765687751,-82.6506456126,10,"Building",0,31.3000519989,33.8670601127,0,27.506516256626558,35.40515861730149,4.09349000704331,0
"318",101,139,"Building",0,7.71642155667,30.416081979,-89.3156722629,10,"Building",0,31.3000519989,33.8670601127,0,27.506516256626558,35.40515861730149,4.09349000704331,0
"318",101,156,"Building",2,24.3411640007,31.8285761878,-89.6449914879,10,"Building",0,31.3000519989,33.8670601127,0,27.506516256626558,35.40515861730149,4.09349000704331,0
"318",101,186,"Building",0,8.22114748052,26.6898825301,-90.6258495876,10,"Building",0,31.3000519989,33.8670601127,0,27.506516256626558,35.40515861730149,4.09349000704331,0
"318",101,197,"Building",0,9.02954197705,21.6862928396,-93.2459513323,10,"Building",0,31.3000519989,33.8670601127,0,27.506516256626558,35.40515861730149,4.09349000704331,0
"318",101,125,"Building",1,28.0346166835,43.2672430536,-95.0,10,"Building",0,31.3000519989,33.8670601127,0,27.506516256626558,35.40515861730149,4.09349000704331,0
